"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Itinerario";"Grupo";"Semestre";"Titulacion"
"Lunes";"Diseño y Desarrollo de Productos";"Teoría y Problemas";"16:00";"20:30";"";"";"56AA";1;"56AA"
"Lunes";"Diseño y Fabricación Asistidos por Ordenador (CAD-CAM)";"Teoría y Problemas";"16:00";"20:30";"";"Profesional";"56AA";1;"56AA"
"Martes";"Ingeniería de la Calidad Total";"Teoría y Problemas";"16:00";"18:30";"";"";"56AA";1;"56AA"
"Jueves";"Modelado y Simulación";"Teoría y Problemas";"16:00";"18:00";"";"Investigador";"56AA";1;"56AA"
"Miércoles";"Información Científica-Técnica";"Teoría y Problemas";"18:30";"20:00";"";"Investigador";"56AA";1;"56AA"
"Miércoles";"Ingeniería de Procesos Productivos";"Teoría y Problemas";"16:00";"18:30";"";"";"56AA";1;"56AA"
"Miércoles";"Producción Limpia, Ecología Industrial y Desarrollo Sostenible";"Teoría y Problemas";"18:30";"20:00";"";"Profesional";"56AA";1;"56AA"
"Jueves";"Automatización y Robótica";"Teoría y Problemas";"15:30";"17:30";"";"Profesional";"56AA";1;"56AA"
"Jueves";"Análisis de Productos por Elementos Finitos";"Teoría y Problemas";"17:30";"19:30";"ADI";"Profesional";"56AA";1;"56AA"
"Martes";"Estadística Aplicada a la Investigación";"Teoría y Problemas";"18:30";"20:30";"";"Investigador";"56AA";1;"56AA"
"Jueves";"Métodos Numéricos Avanzados y Ecuaciones Diferenciales";"Teoría y Problemas";"18:00";"20:00";"";"Investigador";"56AA";1;"56AA"


