"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Itinerario";"Grupo";"Semestre";"Titulacion"
"Lunes";"Actuadores";"Teoría y Problemas";"16:00";"19:00";"";"Mecatrónica";"56AB";2;"56AB"
"Lunes";"Actuadores";"Teoría y Problemas";"19:00";"20:30";"";"Mecatrónica";"56AB";2;"56AB"
"Lunes";"Microcontroladores y Lógica Programable";"Teoría y Problemas";"16:00";"21:00";"";"Mecatrónica";"56AB";2;"56AB"
"Lunes";"Coordinación de Aislamiento en las Redes de Distribución";"Teoría y Problemas";"16:30";"18:30";"";"Distribución";"56AB";2;"56AB"
"Lunes";"Ensayos de Equipos y Materiales en Sistemas e Instalaciones Eléctricas";"Teoría y Problemas";"18:30";"20:30";"";"Distribución";"56AB";2;"56AB"
"Lunes";"Sistemas Mecatrónicos";"Teoría y Problemas";"16:00";"21:00";"";"Mecatrónica";"56AB";2;"56AB"
"Martes";"Computadores y Programación";"Teoría y Problemas";"16:00";"19:00";"";"Mecatrónica";"56AB";2;"56AB"
"Martes";"Topografía y Construcción";"Teoría y Problemas";"16:00";"17:30";"";"Distribución";"56AB";2;"56AB"
"Martes";"Diseño de Instalaciones de Puesta a Tierra";"Teoría y Problemas";"17:30";"19:30";"";"Distribución";"56AB";2;"56AB"
"Martes";"Diseño Electromecánico de líneas II";"Teoría y Problemas";"19:30";"21:00";"";"Distribución";"56AB";2;"56AB"
"Martes";"Robótica";"Teoría y Problemas";"16:00";"19:00";"";"Mecatrónica";"56AB";2;"56AB"
"Martes";"Microcontroladores y Lógica Programable";"Teoría y Problemas";"19:00";"21:00";"";"Mecatrónica";"56AB";2;"56AB"
"Miércoles";"Gestión de la Innovación en la Industria Eléctrica y Electromecánica";"Teoría y Problemas";"17:30";"19:00";"";"";"56AB";2;"56AB"
"Miércoles";"Gestión de la Innovación en la Industria Eléctrica y Electromecánica";"Teoría y Problemas";"17:30";"19:00";"";"";"56AB";2;"56AB"
"Miércoles";"Idioma Profesional (Inglés o Francés)";"Teoría y Problemas";"16:00";"17:30";"";"";"56AB";2;"56AB"
"Miércoles";"Idioma Profesional (Inglés o Francés)";"Teoría y Problemas";"16:00";"17:30";"";"";"56AB";2;"56AB"
"Miércoles";"Impactos y Gestión Ambiental";"Teoría y Problemas";"19:00";"20:30";"";"";"56AB";2;"56AB"
"Miércoles";"Impactos y Gestión Ambiental";"Teoría y Problemas";"19:00";"20:30";"";"";"56AB";2;"56AB"
"Jueves";"Planificación y Desarrollo de Redes de Distribución";"Teoría y Problemas";"16:30";"18:30";"";"Distribución";"56AB";2;"56AB"
"Jueves";"CAD-CAM-CAE";"Teoría y Problemas";"16:00";"19:00";"";"Mecatrónica";"56AB";2;"56AB"
"Jueves";"Diseño Integral de Subestaciones y Centros de Transformación";"Teoría y Problemas";"18:30";"20:00";"";"Distribución";"56AB";2;"56AB"
