"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Comentarios";"Grupo";"Semestre";"Titulacion"
"Lunes";"Energias Renovables en el Diseño de Producto";"Teoría y Problemas";"15:30";"17:30";"";NA;"56AC";2;"56AC"
"Martes";"Diseño de Mecanismos";"Teoría y Problemas";"09:00";"11:30";"";NA;"56AC";2;"56AC"
"Martes";"Materiales Polimericos y Nanocompuestos para Envase y Embalaje";"Teoría y Problemas";"15:30";"17:30";"";NA;"56AC";2;"56AC"
"Martes";"Gestion de Proyectos y Direccion Tecnica de Productos";"Teoría y Problemas";"17:30";"20:00";"A06";NA;"56AC";2;"56AC"
"Miércoles";"Ingeniería de la Calidad Total";"Teoría y Problemas";"10:00";"12:00";"";NA;"56AC";2;"56AC"
"Miércoles";"Comunicacion Visual";"Teoría y Problemas";"12:00";"14:00";"A31/EG4";NA;"56AC";2;"56AC"
"Miércoles";"Desarrollo  de Proyectos de Fabricacion en Entornos Cam";"Teoría y Problemas";"15:30";"17:30";"A06";NA;"56AC";2;"56AC"
"Miércoles";"Prototipado";"Teoría y Problemas";"17:30";"20:30";"A06";NA;"56AC";2;"56AC"
"Jueves";"Presentacion del Diseño";"Teoría y Problemas";"15:30";"18:00";"A31";NA;"56AC";2;"56AC"
"Jueves";"Desarrollo  de Proyectos de Fabricacion en Entornos Cam";"Teoría y Problemas";"18:00";"20:00";"A06";NA;"56AC";2;"56AC"
"Viernes";"Ecoeficiencia y Ecoinnovación";"Teoría y Problemas";"17:30";"19:30";"";NA;"56AC";2;"56AC"
