"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Visión Artificial";"Teoría y Problemas";"16:00";"18:00";"Mstr3";"56AD";2;"56AD"
"Lunes";"Tecnologías Aplicadas Al Mantenimiento Industrial";"Teoría y Problemas";"16:00";"18:00";"Mstr3";"56AD";2;"56AD"
"Lunes";"Metrología";"Teoría y Problemas";"17:00";"19:00";"Mstr3";"56AD";2;"56AD"
"Lunes";"Seguridad y Ergonomía";"Teoría y Problemas";"19:00";"21:00";"Mstr3";"56AD";2;"56AD"
"Martes";"Visión Artificial";"Teoría y Problemas";"16:00";"18:00";"Mstr3";"56AD";2;"56AD"
"Martes";"Análisis y Simulación Térmica";"Teoría y Problemas";"17:00";"19:00";"Mstr3";"56AD";2;"56AD"
"Martes";"Tecnologías Aplicadas Al Mantenimiento Industrial";"Teoría y Problemas";"16:00";"18:00";"Mstr3";"56AD";2;"56AD"
"Martes";"Aplicaciones Industriales de los Láseres";"Teoría y Problemas";"19:00";"21:00";"Mstr3";"56AD";2;"56AD"
"Miércoles";"Diseño del Montaje en Fabricación Industrial";"Teoría y Problemas";"15:00";"18:00";"Mstr3";"56AD";2;"56AD"
"Miércoles";"Modelado y Simulación";"Teoría y Problemas";"19:00";"20:30";"Mstr3";"56AD";2;"56AD"
"Miércoles";"Selección y Diseño de Materiales";"Teoría y Problemas";"18:00";"19:30";"Mstr3";"56AD";2;"56AD"
"Jueves";"Diseño y Cálculo de Uniones Estructurales";"Teoría y Problemas";"15:30";"17:00";"Mstr3";"56AD";2;"56AD"
"Jueves";"Análisis de Productos por Elementos Finitos";"Teoría y Problemas";"17:00";"19:00";"Mstr3";"56AD";2;"56AD"
"Jueves";"Certificación y Calificación de Productos";"Teoría y Problemas";"19:00";"20:30";"Mstr3";"56AD";2;"56AD"
