"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Comentarios";"Grupo";"Semestre";"Titulacion"
"Lunes";"Diseño del Montaje en Fabricación Industrial";"Teoría y Problemas";"15:00";"18:00";"Mstr3";NA;"56AF";2;"56AF"
"Lunes";"Visión Artificial";"Teoría y Problemas";"18:00";"19:00";"Mstr3";NA;"56AF";2;"56AF"
"Lunes";"Tecnologías Aplicadas Al Mantenimiento Industrial";"Teoría y Problemas";"18:00";"19:00";"Mstr3";NA;"56AF";2;"56AF"
"Lunes";"Visión Artificial";"Teoría y Problemas";"19:00";"21:00";"Mstr3";NA;"56AF";2;"56AF"
"Lunes";"Tecnologías Aplicadas Al Mantenimiento Industrial";"Teoría y Problemas";"19:00";"21:00";"Mstr3";NA;"56AF";2;"56AF"
"Lunes";"Seguridad y Ergonomía";"Teoría y Problemas";"19:00";"21:00";"Mstr3";NA;"56AF";2;"56AF"
"Martes";"Visión Artificial";"Teoría y Problemas";"15:30";"17:30";"Mstr3";NA;"56AF";2;"56AF"
"Martes";"Tecnologías Aplicadas Al Mantenimiento Industrial";"Teoría y Problemas";"15:30";"17:30";"Mstr3";NA;"56AF";2;"56AF"
"Martes";"Análisis y Simulación Térmica";"Teoría y Problemas";"17:30";"19:30";"Mstr3";NA;"56AF";2;"56AF"
"Martes";"Aplicaciones Industriales de los Láseres";"Teoría y Problemas";"17:30";"19:30";"Mstr3";NA;"56AF";2;"56AF"
"Martes";"Metrología";"Teoría y Problemas";"19:30";"21:30";"Mstr3";NA;"56AF";2;"56AF"
"Miércoles";"Mini Proyectos";"Teoría y Problemas";"15:30";"17:00";"Mstr3";NA;"56AF";2;"56AF"
"Miércoles";"Seminarios de Desarrollo Profesional";"Teoría y Problemas";"17:00";"18:30";"Mstr3";NA;"56AF";2;"56AF"
"Miércoles";"Empleabilidad y Emprendimiento";"Teoría y Problemas";"17:00";"18:30";"Mstr3";NA;"56AF";2;"56AF"
"Miércoles";"Modelado y Simulación";"Teoría y Problemas";"18:30";"20:30";"Mstr3";NA;"56AF";2;"56AF"
"Miércoles";"Certificación y Calidad de Productos";"Teoría y Problemas";"18:30";"20:30";"Mstr3";NA;"56AF";2;"56AF"
"Jueves";"Selección y Diseño de Materiales";"Teoría y Problemas";"15:30";"17:30";"Mstr3";NA;"56AF";2;"56AF"
"Jueves";"Análisis de Productos por Elementos Finitos";"Teoría y Problemas";"17:30";"19:30";"Mstr3";NA;"56AF";2;"56AF"
"Jueves";"Diseño y Cálculo de Uniones Estructurales";"Teoría y Problemas";"19:30";"21:00";"Mstr3";NA;"56AF";2;"56AF"
