"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Teoría de Circuitos";"Laboratorio";"08:00";"10:00";"Presencial en laboratorio/Online";"A204";1;"56IA"
"Lunes";"Teoría de Circuitos";"Laboratorio";"10:00";"13:00";"Presencial en laboratorio";"A204";1;"56IA"
"Lunes";"English for Professional and Academic Communication";"Teoría y Problemas";"15:00";"17:00";"Pendiente de asignar";"A204";1;"56IA"
"Lunes";"English for Professional and Academic Communication";"Acciones Cooperativas";"15:00";"17:00";"Pendiente de asignar";"A204";1;"56IA"
"Lunes";"Ciencia de Materiales";"Teoría y Problemas";"18:00";"19:00";"Online";"A204";1;"56IA"
"Martes";"Teoría de Circuitos";"Laboratorio";"08:00";"14:00";"Presencial en laboratorio/Online";"A204";1;"56IA"
"Martes";"Economía General y de la Empresa";"Teoría y Problemas";"15:00";"16:00";"Online";"A204";1;"56IA"
"Martes";"Termodinámica";"Teoría y Problemas";"17:30";"18:30";"Online";"A204";1;"56IA"
"Martes";"Teoría de Circuitos";"Teoría y Problemas";"18:30";"19:30";"Online";"A204";1;"56IA"
"Miércoles";"Termodinámica";"Laboratorio";"09:30";"13:30";"Presencial en laboratorio";"A204";1;"56IA"
"Miércoles";"Teoría de Circuitos";"Laboratorio";"08:00";"14:00";"Presencial en laboratorio/Online";"A204";1;"56IA"
"Miércoles";"Termodinámica";"Teoría y Problemas";"15:00";"17:00";"Online";"A204";1;"56IA"
"Miércoles";"Teoría de Circuitos";"Teoría y Problemas";"17:30";"19:30";"Online";"A204";1;"56IA"
"Jueves";"Teoría de Circuitos";"Laboratorio";"09:00";"11:00";"Presencial en laboratorio/Online";"A204";1;"56IA"
"Jueves";"Ciencia de Materiales";"Laboratorio";"11:00";"14:00";"Presencial en laboratorio";"A204";1;"56IA"
"Jueves";"English for Professional and Academic Communication";"Teoría y Problemas";"15:00";"17:00";"Pendiente de asignar";"A204";1;"56IA"
"Jueves";"English for Professional and Academic Communication";"Teoría y Problemas";"15:00";"17:00";"Pendiente de asignar";"A204";1;"56IA"
"Jueves";"Ciencia de Materiales";"Teoría y Problemas";"18:00";"20:00";"Online";"A204";1;"56IA"
"Viernes";"Resistencia de Materiales";"Laboratorio";"10:30";"13:30";"Presencial en laboratorio";"A204";1;"56IA"
"Viernes";"Resistencia de Materiales";"Teoría y Problemas";"14:00";"17:00";"A12, A13, A35";"A204";1;"56IA"
"Viernes";"Economía General y de la Empresa";"Teoría y Problemas";"17:30";"20:30";"B31, B32";"A204";1;"56IA"
