"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Teoría de Circuitos";"Teoría y Problemas";"09:30";"11:30";"A12+A13";"D202";2;"56DD"
"Lunes";"Metodología del Diseño y la Creatividad";"Acciones Cooperativas";"12:00";"14:00";"A25+A26+A27";"D202";2;"56DD"
"Lunes";"Ingeniería Gráfica";"Laboratorio";"12:00";"14:00";"Lab EG1";"D202";2;"56DD"
"Lunes";"Metodología del Diseño y la Creatividad";"Acciones Cooperativas";"15:30";"17:30";"A26+A27";"D202";2;"56DD"
"Lunes";"Tecnologías de Fabricación";"Laboratorio";"17:30";"19:30";"";"D202";2;"56DD"
"Martes";"Ingeniería Gráfica";"Teoría y Problemas";"08:30";"09:30";"B41";"D202";2;"56DD"
"Martes";"Ingeniería Gráfica";"Teoría y Problemas";"09:30";"11:30";"EG1/EG4";"D202";2;"56DD"
"Martes";"Transmisión de Calor";"Teoría y Problemas";"12:00";"14:00";"B41";"D202";2;"56DD"
"Martes";"Transmisión de Calor";"Laboratorio";"15:30";"19:30";"";"D202";2;"56DD"
"Miércoles";"Elasticidad y Resistencia de Materiales";"Teoría y Problemas";"09:30";"11:30";"B41";"D202";2;"56DD"
"Miércoles";"Tecnologías de Fabricación";"Teoría y Problemas";"12:00";"14:00";"B41";"D202";2;"56DD"
"Miércoles";"Tecnologías de Fabricación";"Laboratorio";"15:30";"17:30";"";"D202";2;"56DD"
"Miércoles";"Teoría de Circuitos";"Laboratorio";"15:30";"17:30";"";"D202";2;"56DD"
"Miércoles";"Teoría de Circuitos";"Laboratorio";"17:30";"19:30";"";"D202";2;"56DD"
"Jueves";"Tecnologías de Fabricación";"Teoría y Problemas";"09:30";"10:30";"B41";"D202";2;"56DD"
"Jueves";"Transmisión de Calor";"Teoría y Problemas";"10:30";"11:30";"B41";"D202";2;"56DD"
"Jueves";"Elasticidad y Resistencia de Materiales";"Teoría y Problemas";"12:00";"14:00";"B41";"D202";2;"56DD"
"Jueves";"Elasticidad y Resistencia de Materiales";"Laboratorio";"15:30";"19:30";"";"D202";2;"56DD"
"Viernes";"Metodología del Diseño y la Creatividad";"Teoría y Problemas";"09:00";"10:30";"A25+A26+A27";"D202";2;"56DD"
"Viernes";"Teoría de Circuitos";"Teoría y Problemas";"10:30";"11:30";"A12+A13";"D202";2;"56DD"
"Viernes";"Metodología del Diseño y la Creatividad";"Acciones Cooperativas";"12:00";"14:00";"A25+A26+A27";"D202";2;"56DD"
"Viernes";"Ingeniería Gráfica";"Laboratorio";"12:00";"14:00";"EG1/EG4";"D202";2;"56DD"
"Viernes";"Teoría de Circuitos";"Laboratorio";"15:30";"19:30";"";"D202";2;"56DD"
