"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Introduction to Mechatronic Systems Design";"Teoría y Problemas";"09:30";"11:30";"ApS";"D402E";1;"56DD"
"Lunes";"Design and Selection of Materiales in 3D Printing";"Teoría y Problemas";"12:00";"14:00";"A05";"D402E";1;"56DD"
"Martes";"Spanish Language Course";"Teoría y Problemas";"09:30";"11:30";"ApS";"D402E";1;"56DD"
"Martes";"Intellectual Capital & Knowledge Management";"Teoría y Problemas";"12:00";"14:00";"ApS";"D402E";1;"56DD"
"Miércoles";"Spanish Language Course";"Teoría y Problemas";"09:30";"11:30";"ApS";"D402E";1;"56DD"
"Miércoles";"Practical Internet of Things With Raspberry Pi";"Teoría y Problemas";"12:00";"14:00";"A16";"D402E";1;"56DD"
"Miércoles";"Computer Aided Manufacturing Workshop";"Teoría y Problemas";"15:00";"17:00";"A05";"D402E";1;"56DD"
"Jueves";"Spanish Language Course";"Teoría y Problemas";"09:30";"11:30";"ApS";"D402E";1;"56DD"
"Jueves";"Spanish Language Course";"Teoría y Problemas";"12:00";"14:00";"ApS";"D402E";1;"56DD"
"Jueves";"Art, Technology and Society";"Teoría y Problemas";"15:00";"17:00";"ApS";"D402E";1;"56DD"
