"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Itinerario";"Grupo";"Semestre";"Titulacion"
"Lunes";"Modelos, Maquetas y Prototipos";"Laboratorio";"11:30";"14:30";"Online";NA;"DM406";2;"56DM"
"Lunes";"Ingeniería Estructural";"Teoría y Problemas";"16:00";"17:00";"Online";NA;"DM406";2;"56DM"
"Lunes";"Análisis y Síntesis de Mecanismos";"Teoría y Problemas";"19:30";"20:30";"Online";NA;"DM406";2;"56DM"
"Martes";"Modelos, Maquetas y Prototipos";"Laboratorio";"10:30";"13:30";"Online";NA;"DM406";2;"56DM"
"Martes";"Ecodiseño y Seguridad del Producto";"Acciones Cooperativas";"15:00";"17:00";"Online";NA;"DM406";2;"56DM"
"Martes";"Estructuras Metálicas";"Teoría y Problemas";"17:30";"19:30";"Online";NA;"DM406";2;"56DM"
"Martes";"Fabricación Asistida por Ordenador";"Teoría y Problemas";"17:30";"19:30";"Online";NA;"DM406";2;"56DM"
"Martes";"Estructuras Metálicas";"Laboratorio";"19:30";"20:30";"Online";NA;"DM406";2;"56DM"
"Miércoles";"Ingeniería Estructural";"Laboratorio";"11:30";"13:30";"Online";NA;"DM406";2;"56DM"
"Miércoles";"Ingeniería Estructural";"Teoría y Problemas";"15:00";"17:00";"Online";NA;"DM406";2;"56DM"
"Miércoles";"Análisis y Síntesis de Mecanismos";"Teoría y Problemas";"15:00";"17:00";"Online";NA;"DM406";2;"56DM"
"Miércoles";"Taller de Diseño II";"Teoría y Problemas";"17:30";"18:30";"Online/Presencial";NA;"DM406";2;"56DM"
"Miércoles";"Taller de Diseño II";"Acciones Cooperativas";"18:30";"20:30";"Online/Presencial";NA;"DM406";2;"56DM"
"Jueves";"Fabricación Asistida por Ordenador";"Laboratorio";"09:30";"11:30";"Online";NA;"DM406";2;"56DM"
"Jueves";"Máquinas y Sistemas Fluidomecánicos";"Laboratorio";"11:30";"13:30";"Online";NA;"DM406";2;"56DM"
"Jueves";"Máquinas y Sistemas Fluidomecánicos";"Teoría y Problemas";"15:00";"16:30";"Online";NA;"DM406";2;"56DM"
"Jueves";"Fabricación Asistida por Ordenador";"Laboratorio";"17:30";"19:30";"Online/Presencial";NA;"DM406";2;"56DM"
"Viernes";"Análisis y Síntesis de Mecanismos";"Laboratorio";"09:30";"11:30";"Online";NA;"DM406";2;"56DM"
"Viernes";"Ecodiseño y Seguridad del Producto";"Teoría y Problemas";"12:00";"13:00";"Online";NA;"DM406";2;"56DM"
"Viernes";"Aspectos Legales del Diseño y el Producto";"Teoría y Problemas";"15:00";"17:00";"Online";NA;"DM406";2;"56DM"
"Viernes";"Máquinas y Sistemas Fluidomecánicos";"Teoría y Problemas";"17:30";"19:00";"Online";NA;"DM406";2;"56DM"
NA;NA;NA;NA;NA;"B12";"";"DM406";2;"56DM"
