"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Envase y Embalaje";"Acciones Cooperativas";"09:00";"11:30";"D402";"DM502";1;"56DM"
"Lunes";"Diseño Gráfico y Comunicación";"Teoría y Problemas";"11:30";"13:30";"D402";"DM502";1;"56DM"
"Lunes";"Digitalización Tridimensional y Prototipado Rápido";"Teoría y Problemas";"14:00";"16:00";"D402";"DM502";1;"56DM"
"Lunes";"Instalaciones Industriales y en Edificios II";"Laboratorio";"18:00";"21:00";"M401-M406";"DM502";1;"56DM"
"Lunes";"Sistemas de Fabricación Flexible";"Laboratorio";"18:00";"21:00";"M401-M406";"DM502";1;"56DM"
"Martes";"Envase y Embalaje";"Teoría y Problemas";"09:00";"11:30";"D402";"DM502";1;"56DM"
"Martes";"Sistemas de Fabricación Flexible";"Laboratorio";"12:00";"14:00";"M401-M406";"DM502";1;"56DM"
"Martes";"Aspectos Ergonómicos del Producto";"Laboratorio";"15:00";"17:00";"D402";"DM502";1;"56DM"
"Martes";"Elementos Finitos y Vibraciones Mecánicas";"Teoría y Problemas";"18:30";"20:30";"M401-M406";"DM502";1;"56DM"
"Miércoles";"Digitalización Tridimensional y Prototipado Rápido";"Teoría y Problemas";"14:30";"15:30";"D402";"DM502";1;"56DM"
"Miércoles";"Diseño Gráfico y Comunicación";"Teoría y Problemas";"15:30";"16:30";"D402";"DM502";1;"56DM"
"Miércoles";"Instalaciones Industriales y en Edificios II";"Laboratorio";"17:30";"19:30";"M401-M406";"DM502";1;"56DM"
"Miércoles";"Elementos Finitos y Vibraciones Mecánicas";"Laboratorio";"19:30";"21:30";"M401-M406";"DM502";1;"56DM"
"Jueves";"Aspectos Ergonómicos del Producto";"Teoría y Problemas";"09:00";"10:00";"D402";"DM502";1;"56DM"
"Jueves";"Envase y Embalaje";"Teoría y Problemas";"10:00";"11:30";"D402";"DM502";1;"56DM"
"Jueves";"Taller de Diseño III";"Laboratorio";"12:00";"13:00";"D402";"DM502";1;"56DM"
"Jueves";"Taller de Diseño III";"Teoría y Problemas";"15:00";"17:00";"D402";"DM502";1;"56DM"
"Jueves";"Sistemas de Fabricación Flexible";"Teoría y Problemas";"18:30";"20:30";"M401-M406";"DM502";1;"56DM"
"Viernes";"Diseño Gráfico y Comunicación";"Laboratorio";"08:30";"09:30";"D402";"DM502";1;"56DM"
"Viernes";"Aspectos Ergonómicos del Producto";"Teoría y Problemas";"09:30";"11:30";"D402";"DM502";1;"56DM"
"Viernes";"Materiales Avanzados";"Teoría y Problemas";"12:00";"14:00";"D402";"DM502";1;"56DM"
"Viernes";"Elementos Finitos y Vibraciones Mecánicas";"Teoría y Problemas";"15:00";"17:00";"M401-M406";"DM502";1;"56DM"
"Viernes";"Instalaciones Industriales y en Edificios II";"Teoría y Problemas";"17:30";"19:30";"M401-M406";"DM502";1;"56DM"
