"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Métodos Numéricos en Ingeniería Eléctrica";"Teoría y Problemas";"14:00";"16:00";"B11";"E100";2;"56IE"
"Lunes";"Métodos Numéricos en Ingeniería Eléctrica";"Laboratorio";"16:00";"17:00";"B11";"E100";2;"56IE"
"Lunes";"Ampliación de Matemáticas";"Teoría y Problemas";"17:30";"19:30";"B11";"E100";2;"56IE"
"Martes";"Física II";"Laboratorio";"09:30";"13:30";"";"E100";2;"56IE"
"Martes";"Física II";"Teoría y Problemas";"15:00";"17:00";"B11";"E100";2;"56IE"
"Martes";"Estadística";"Teoría y Problemas";"17:30";"19:30";"B11";"E100";2;"56IE"
"Miércoles";"Métodos Numéricos en Ingeniería Eléctrica";"Laboratorio";"14:00";"15:00";"";"E100";2;"56IE"
"Miércoles";"Informática";"Teoría y Problemas";"15:00";"17:00";"B11";"E100";2;"56IE"
"Miércoles";"Métodos Numéricos en Ingeniería Eléctrica";"Teoría y Problemas";"17:30";"19:30";"B11";"E100";2;"56IE"
"Jueves";"Ampliación de Matemáticas";"Laboratorio";"14:00";"15:00";"";"E100";2;"56IE"
"Jueves";"Ampliación de Matemáticas";"Acciones Cooperativas";"14:00";"15:00";"B11";"E100";2;"56IE"
"Jueves";"Ampliación de Matemáticas";"Teoría y Problemas";"15:00";"17:00";"B11";"E100";2;"56IE"
"Jueves";"Física II";"Teoría y Problemas";"17:30";"19:30";"B11";"E100";2;"56IE"
"Viernes";"Estadística";"Acciones Cooperativas";"14:00";"17:00";"B11";"E100";2;"56IE"
"Viernes";"Estadística";"Teoría y Problemas";"14:00";"17:00";"B11";"E100";2;"56IE"
"Viernes";"Informática";"Teoría y Problemas";"17:30";"19:30";"B11";"E100";2;"56IE"
