"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Cálculo Infinitesimal";"Acciones Cooperativas";"14:00";"15:00";"A13+A14";"M106";1;"56IM"
"Lunes";"Cálculo Infinitesimal";"Laboratorio";"14:00";"15:00";"";"M106";1;"56IM"
"Lunes";"Cálculo Infinitesimal";"Teoría y Problemas";"15:00";"17:00";"B22";"M106";1;"56IM"
"Lunes";"Cálculo Infinitesimal";"Acciones Cooperativas";"15:00";"17:00";"B22";"M106";1;"56IM"
"Lunes";"Química";"Teoría y Problemas";"17:30";"19:30";"B22";"M106";1;"56IM"
"Martes";"Álgebra Lineal";"Teoría y Problemas";"15:00";"17:00";"B22";"M106";1;"56IM"
"Martes";"Expresión Gráfica y Diseño Asistido por Ordenador";"Teoría y Problemas";"17:30";"19:30";"Lab EG";"M106";1;"56IM"
"Miércoles";"Física I";"Laboratorio";"09:30";"13:30";"";"M106";1;"56IM"
"Miércoles";"Física I";"Teoría y Problemas";"15:00";"17:00";"B22";"M106";1;"56IM"
"Miércoles";"Cálculo Infinitesimal";"Teoría y Problemas";"17:30";"19:30";"B22";"M106";1;"56IM"
"Jueves";"Química";"Acciones Cooperativas";"14:00";"16:00";"B22";"M106";1;"56IM"
"Jueves";"Química";"Laboratorio";"14:00";"16:00";"";"M106";1;"56IM"
"Jueves";"Química";"Teoría y Problemas";"16:00";"17:00";"B22";"M106";1;"56IM"
"Jueves";"Álgebra Lineal";"Teoría y Problemas";"17:30";"19:30";"B22";"M106";1;"56IM"
"Jueves";"Álgebra Lineal";"Acciones Cooperativas";"19:30";"20:30";"B22";"M106";1;"56IM"
"Jueves";"Álgebra Lineal";"Laboratorio";"19:30";"20:30";"";"M106";1;"56IM"
"Viernes";"Expresión Gráfica y Diseño Asistido por Ordenador";"Teoría y Problemas";"15:00";"17:00";"Lab EG";"M106";1;"56IM"
"Viernes";"Física I";"Teoría y Problemas";"17:30";"19:30";"B22";"M106";1;"56IM"
