"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Itinerario";"Grupo";"Semestre";"Titulacion"
"Lunes";"English for Professional and Academic Communication";"Teoría y Problemas";"09:30";"11:30";"B42";NA;"M201";1;"56IM"
"Lunes";"English for Professional and Academic Communication";"Acciones Cooperativas";"09:30";"11:30";"B41";NA;"M201";1;"56IM"
"Lunes";"Ciencia de Materiales";"Teoría y Problemas";"12:00";"14:00";"B42";NA;"M201";1;"56IM"
"Lunes";"Ciencia de Materiales";"Laboratorio";"17:00";"19:30";"";NA;"M201";1;"56IM"
"Martes";"Economía General y de la Empresa";"Teoría y Problemas";"09:30";"11:30";"B42";NA;"M201";1;"56IM"
"Martes";"Resistencia de Materiales";"Teoría y Problemas";"12:00";"14:00";"B42";NA;"M201";1;"56IM"
"Martes";"Resistencia de Materiales";"Laboratorio";"15:30";"18:30";"";NA;"M201";1;"56IM"
"Miércoles";"Ciencia de Materiales";"Teoría y Problemas";"09:30";"10:30";"B42";NA;"M201";1;"56IM"
"Miércoles";"Resistencia de Materiales";"Teoría y Problemas";"10:30";"11:30";"B42";NA;"M201";1;"56IM"
"Miércoles";"English for Professional and Academic Communication";"Teoría y Problemas";"12:00";"14:00";"A25";NA;"M201";1;"56IM"
"Miércoles";"English for Professional and Academic Communication";"Acciones Cooperativas";"12:00";"14:00";"A25";NA;"M201";1;"56IM"
"Jueves";"Mecánica de Fluidos";"Teoría y Problemas";"09:30";"10:30";"B31";NA;"M201";1;"56IM"
"Jueves";"Termodinámica";"Teoría y Problemas";"10:30";"11:30";"B42";NA;"M201";1;"56IM"
"Jueves";"Economía General y de la Empresa";"Teoría y Problemas";"12:00";"14:00";"B42";NA;"M201";1;"56IM"
"Jueves";"Mecánica de Fluidos";"Laboratorio";"15:30";"19:30";"";NA;"M201";1;"56IM"
"Viernes";"Mecánica de Fluidos";"Teoría y Problemas";"09:30";"11:30";"B31";NA;"M201";1;"56IM"
"Viernes";"Termodinámica";"Teoría y Problemas";"12:00";"14:00";"B42";NA;"M201";1;"56IM"
"Viernes";"Termodinámica";"Laboratorio";"15:30";"19:30";"";NA;"M201";1;"56IM"
