"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion";"Itinerario"
"Lunes";"Diseño de Máquinas I";"Laboratorio";"09:45";"11:45";"FALSE";"M306";1;"56IM";""
"Lunes";"Ingeniería Térmica";"Laboratorio";"11:45";"13:45";"FALSE";"M306";1;"56IM";""
"Lunes";"Teoría de Estructuras";"Teoría y Problemas";"15:15";"17:15";"FALSE";"M306";1;"56IM";""
"Lunes";"Teoría de Estructuras";"Acciones Cooperativas";"15:15";"17:15";"FALSE";"M306";1;"56IM";""
"Lunes";"Ingeniería Térmica";"Teoría y Problemas";"17:45";"19:45";"FALSE";"M306";1;"56IM";""
"Martes";"Teoría de Estructuras";"Laboratorio";"09:45";"11:45";"FALSE";"M306";1;"56IM";""
"Martes";"Teoría de Máquinas y Mecanismos";"Laboratorio";"11:45";"13:45";"FALSE";"M306";1;"56IM";""
"Martes";"Ingeniería Térmica";"Laboratorio";"11:45";"13:45";"FALSE";"M306";1;"56IM";""
"Martes";"Teoría de Máquinas y Mecanismos";"Teoría y Problemas";"15:15";"16:15";"FALSE";"M306";1;"56IM";""
"Martes";"Teoría de Estructuras";"Teoría y Problemas";"16:15";"17:15";"FALSE";"M306";1;"56IM";""
"Martes";"Ingeniería Térmica";"Teoría y Problemas";"17:45";"18:45";"FALSE";"M306";1;"56IM";""
"Martes";"Ingeniería de Materiales";"Teoría y Problemas";"18:45";"19:45";"FALSE";"M306";1;"56IM";""
"Miércoles";"Ingeniería de Materiales";"Laboratorio";"10:45";"13:45";"FALSE";"M306";1;"56IM";""
"Miércoles";"Teoría de Máquinas y Mecanismos";"Teoría y Problemas";"15:15";"17:15";"FALSE";"M306";1;"56IM";""
"Miércoles";"Ingeniería de Materiales";"Teoría y Problemas";"17:45";"19:45";"FALSE";"M306";1;"56IM";""
"Jueves";"Electrónica";"Laboratorio";"09:45";"13:45";"FALSE";"M306";1;"56IM";""
"Jueves";"Máquinas Eléctricas";"Teoría y Problemas";"15:15";"17:15";"FALSE";"M306";1;"56IM";""
"Jueves";"Electrónica";"Teoría y Problemas";"17:45";"19:45";"FALSE";"M306";1;"56IM";""
"Viernes";"Máquinas Eléctricas";"Laboratorio";"09:45";"13:45";"FALSE";"M306";1;"56IM";""
"Viernes";"Diseño de Máquinas I";"Teoría y Problemas";"15:15";"17:15";"FALSE";"M306";1;"56IM";""
"Viernes";"Máquinas Eléctricas";"Teoría y Problemas";"17:45";"18:45";"FALSE";"M306";1;"56IM";""
"Viernes";"Electrónica";"Teoría y Problemas";"18:45";"19:45";"FALSE";"M306";1;"56IM";""
