"Dia";"Asignatura";"Tipo";"HoraInicio";"HoraFinal";"Aula";"Grupo";"Semestre";"Titulacion"
"Lunes";"Teoría de Circuitos";"Teoría y Problemas";"08:15";"10:15";NA;"Q203";1;"56IQ"
"Lunes";"Teoría de Circuitos";"Laboratorio";"08:15";"10:15";"FALSE";"Q203";1;"56IQ"
"Lunes";"Termodinámica";"Teoría y Problemas";"10:15";"11:15";"FALSE";"Q203";1;"56IQ"
"Lunes";"Economía General y de la Empresa";"Teoría y Problemas";"11:45";"13:45";"FALSE";"Q203";1;"56IQ"
"Lunes";"Teoría de Circuitos";"Laboratorio";"15:15";"19:15";"FALSE";"Q203";1;"56IQ"
"Martes";"Teoría de Circuitos";"Laboratorio";"08:15";"11:15";NA;"Q203";1;"56IQ"
"Martes";"Teoría de Circuitos";"Teoría y Problemas";"08:15";"11:15";"FALSE";"Q203";1;"56IQ"
"Martes";"Termodinámica";"Teoría y Problemas";"11:45";"13:45";"FALSE";"Q203";1;"56IQ"
"Martes";"Termodinámica";"Laboratorio";"15:15";"19:15";"FALSE";"Q203";1;"56IQ"
"Miércoles";"English for Professional and Academic Communication";"Teoría y Problemas";"09:15";"11:15";"FALSE";"Q203";1;"56IQ"
"Miércoles";"English for Professional and Academic Communication";"Acciones Cooperativas";"09:15";"11:15";"FALSE";"Q203";1;"56IQ"
"Miércoles";"Ciencia de Materiales";"Teoría y Problemas";"11:45";"13:45";"FALSE";"Q203";1;"56IQ"
"Miércoles";"Ciencia de Materiales";"Laboratorio";"15:15";"17:15";"FALSE";"Q203";1;"56IQ"
"Jueves";"Economía General y de la Empresa";"Teoría y Problemas";"09:15";"11:15";"FALSE";"Q203";1;"56IQ"
"Jueves";"Resistencia de Materiales";"Teoría y Problemas";"11:45";"13:45";"FALSE";"Q203";1;"56IQ"
"Jueves";"Resistencia de Materiales";"Laboratorio";"15:15";"18:15";"FALSE";"Q203";1;"56IQ"
"Viernes";"Ciencia de Materiales";"Teoría y Problemas";"09:15";"10:15";"FALSE";"Q203";1;"56IQ"
"Viernes";"Resistencia de Materiales";"Teoría y Problemas";"10:15";"11:15";"FALSE";"Q203";1;"56IQ"
"Viernes";"English for Professional and Academic Communication";"Laboratorio";"11:45";"13:45";"FALSE";"Q203";1;"56IQ"
